Marca temporal,1. ¿Cuál es tu ocupación laboral principal?,2. ¿Cuál es el nivel máximo de estudios alcanzado en el hogar?,3. Rango de ingreso familiar mensual aproximado (estimado en salarios mínimos):,"4. En tu rutina diaria, ¿cuánto tiempo aproximado convives o apoyas a tus hijos con sus actividades escolares?",5. ¿En qué nivel educativo se encuentran tus hijos actualmente?,6. ¿Cuál es tu grado de conocimiento sobre qué es y cómo funciona la Inteligencia Artificial?,"7. Hasta donde sabes, ¿con qué frecuencia utiliza tu hijo herramientas de IA (ChatGPT, buscadores integrados, etc.) para tareas escolares?",8. ¿Cuáles consideras que son los principales usos que tu hijo le da a la IA?,9. ¿Qué nivel de supervisión mantienes cuando tu hijo utiliza IA u otras herramientas digitales para estudiar?,10. ¿Cómo evalúas el impacto global que la Inteligencia Artificial está teniendo en la educación de tu hijo?,11. ¿Cuál consideras que es el PRINCIPAL beneficio de la IA en el aprendizaje?,12. ¿Cuál consideras que es el PRINCIPAL riesgo del uso de IA en los estudiantes?,13. ¿La institución educativa de tu hijo ha comunicado normas o reglas claras sobre el uso de la IA?,14. ¿Qué postura crees que deberían adoptar las escuelas respecto al uso de la Inteligencia Artificial?
20/09/2026 9:15:38,Otro,Preparatoria / Bachillerato,Entre 1 y 2 salarios mínimos,Entre 1 y 2 horas al día,Primaria,1,Rara vez (1 o 2 veces al mes),"Entender o resolver dudas de temas difíciles, Resolver ejercicios matemáticos o de programación",Supervisión constante (Reviso activamente qué usa y cómo),Neutro (Ni positivo ni negativo),Apoyo en materias donde el estudiante presenta dificultades,Disminución del esfuerzo intelectual y pereza académica,"Mencionaron el tema, pero de forma superficial",Restringirla solo para ciertas actividades específicas
20/09/2026 10:01:04,Otro,Secundaria,Prefiero no responder,Entre 1 y 2 horas al día,Primaria,2,Rara vez (1 o 2 veces al mes),Buscar información rápidamente,Supervisión constante (Reviso activamente qué usa y cómo),Moderadamente negativo,Ahorro de tiempo en búsquedas de información,Pérdida de la capacidad de pensamiento crítico y análisis,"Sí, normas claras y explícitas",Prohibir totalmente su uso en trabajos y tareas
20/09/2026 11:09:16,Comerciante / Empresario/a,Preparatoria / Bachillerato,Prefiero no responder,Entre 30 minutos y 1 hora al día,Preparatoria / Bachillerato,4,Diariamente,"Entender o resolver dudas de temas difíciles, Resolver ejercicios matemáticos o de programación, Entretenimiento",Supervisión constante (Reviso activamente qué usa y cómo),Moderadamente positivo,Explicaciones personalizadas a su propio ritmo,Dependencia tecnológica (incapacidad de trabajar sin IA),"Sí, normas claras y explícitas",Enseñar a usarla éticamente e integrarla en las materias
21/09/2026 14:29:46,Empleado/a en sector público / Gobierno,Técnico superior / Carrera técnica,Entre 1 y 2 salarios mínimos,Entre 30 minutos y 1 hora al día,"Secundaria, Universidad / Licenciatura",1,Rara vez (1 o 2 veces al mes),Entretenimiento,Supervisión constante (Reviso activamente qué usa y cómo),Moderadamente negativo,Apoyo en materias donde el estudiante presenta dificultades,Disminución del esfuerzo intelectual y pereza académica,No han comunicado nada al respecto,Restringirla solo para ciertas actividades específicas
21/09/2026 14:30:04,Empleado/a en sector público / Gobierno,Licenciatura / Ingeniería,Entre 3 y 5 salarios mínimos,No me es posible apoyarlos por temas de horario,"Preparatoria / Bachillerato, Universidad / Licenciatura",2,Varias veces por semana,Entender o resolver dudas de temas difíciles,Mínima o nula (Confío en que lo use adecuadamente),Neutro (Ni positivo ni negativo),Apoyo en materias donde el estudiante presenta dificultades,Dependencia tecnológica (incapacidad de trabajar sin IA),No han comunicado nada al respecto,Prohibir totalmente su uso en trabajos y tareas
21/09/2026 14:32:39,Trabajo del hogar / Cuidados no remunerados,Preparatoria / Bachillerato,Menos del salario mínimo,Entre 1 y 2 horas al día,"Primaria, Secundaria",3,Rara vez (1 o 2 veces al mes),Entender o resolver dudas de temas difíciles,Supervisión constante (Reviso activamente qué usa y cómo),Muy positivo,Explicaciones personalizadas a su propio ritmo,Dependencia tecnológica (incapacidad de trabajar sin IA),"Mencionaron el tema, pero de forma superficial",Enseñar a usarla éticamente e integrarla en las materias
21/09/2026 14:33:13,Empleado/a en sector público / Gobierno,Licenciatura / Ingeniería,Prefiero no responder,Entre 1 y 2 horas al día,Secundaria,2,Varias veces por semana,Entender o resolver dudas de temas difíciles,Supervisión constante (Reviso activamente qué usa y cómo),Moderadamente negativo,Apoyo en materias donde el estudiante presenta dificultades,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,Prohibir totalmente su uso en trabajos y tareas
21/09/2026 14:34:33,Empleado/a en sector público / Gobierno,Posgrado (Maestría / Doctorado),Entre 1 y 2 salarios mínimos,No me es posible apoyarlos por temas de horario,Universidad / Licenciatura,4,Varias veces por semana,"Entender o resolver dudas de temas difíciles, Buscar información rápidamente, Generar ideas o resúmenes",Mínima o nula (Confío en que lo use adecuadamente),Moderadamente positivo,Desarrollo de habilidades tecnológicas para el futuro,Dependencia tecnológica (incapacidad de trabajar sin IA),"Sí, normas claras y explícitas",Restringirla solo para ciertas actividades específicas
21/09/2026 14:44:48,Trabajo del hogar / Cuidados no remunerados,Secundaria,Menos del salario mínimo,Menos de 30 minutos al día,Secundaria,1,Diariamente,Entender o resolver dudas de temas difíciles,Mínima o nula (Confío en que lo use adecuadamente),No estoy seguro/a,Apoyo en materias donde el estudiante presenta dificultades,Riesgo de entregar trabajos plagiados o no originales,No han comunicado nada al respecto,Restringirla solo para ciertas actividades específicas
21/09/2026 15:06:11,Actualmente sin empleo,Secundaria,Menos del salario mínimo,Entre 30 minutos y 1 hora al día,Primaria,1,Rara vez (1 o 2 veces al mes),"Entender o resolver dudas de temas difíciles, Resolver ejercicios matemáticos o de programación, Entretenimiento",Supervisión constante (Reviso activamente qué usa y cómo),Neutro (Ni positivo ni negativo),Apoyo en materias donde el estudiante presenta dificultades,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,No estoy seguro/a
21/09/2026 15:07:56,Comerciante / Empresario/a,Técnico superior / Carrera técnica,Menos del salario mínimo,Entre 1 y 2 horas al día,Primaria,2,Rara vez (1 o 2 veces al mes),Buscar información rápidamente,Supervisión constante (Reviso activamente qué usa y cómo),Moderadamente negativo,Ahorro de tiempo en búsquedas de información,Pérdida de la capacidad de pensamiento crítico y análisis,"Mencionaron el tema, pero de forma superficial",Restringirla solo para ciertas actividades específicas
21/09/2026 15:37:36,Empleado/a en sector público / Gobierno,Posgrado (Maestría / Doctorado),Prefiero no responder,Más de 2 horas al día,"Preparatoria / Bachillerato, Universidad / Licenciatura",3,Nunca,No utiliza IA / No lo sé,Supervisión constante (Reviso activamente qué usa y cómo),Muy negativo,No considero que aporte beneficios,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,Prohibir totalmente su uso en trabajos y tareas
21/09/2026 15:39:59,Trabajo del hogar / Cuidados no remunerados,Licenciatura / Ingeniería,Prefiero no responder,Entre 1 y 2 horas al día,Primaria,2,Varias veces por semana,"Entender o resolver dudas de temas difíciles, Redactar o corregir ensayos y escritos",Supervisión constante (Reviso activamente qué usa y cómo),Moderadamente positivo,Apoyo en materias donde el estudiante presenta dificultades,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
21/09/2026 15:54:51,Trabajador/a independiente / Free-lance,Secundaria,Entre 1 y 2 salarios mínimos,No me es posible apoyarlos por temas de horario,Universidad / Licenciatura,4,Varias veces por semana,"Entender o resolver dudas de temas difíciles, Redactar o corregir ensayos y escritos",Supervisión ocasional (Pregunto de vez en cuando),Neutro (Ni positivo ni negativo),Ahorro de tiempo en búsquedas de información,Dependencia tecnológica (incapacidad de trabajar sin IA),No estoy seguro/a,Restringirla solo para ciertas actividades específicas
21/09/2026 17:08:36,Empleado/a en sector público / Gobierno,Licenciatura / Ingeniería,Entre 1 y 2 salarios mínimos,Entre 30 minutos y 1 hora al día,Primaria,3,Nunca,No utiliza IA / No lo sé,Supervisión constante (Reviso activamente qué usa y cómo),Neutro (Ni positivo ni negativo),Ahorro de tiempo en búsquedas de información,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
21/09/2026 17:42:03,Empleado/a en sector público / Gobierno,Posgrado (Maestría / Doctorado),Entre 3 y 5 salarios mínimos,Entre 1 y 2 horas al día,Primaria,4,Diariamente,"Entender o resolver dudas de temas difíciles, Buscar información rápidamente, Resolver ejercicios matemáticos o de programación, Entretenimiento",Supervisión constante (Reviso activamente qué usa y cómo),Moderadamente positivo,Apoyo en materias donde el estudiante presenta dificultades,Pérdida de la capacidad de pensamiento crítico y análisis,"Mencionaron el tema, pero de forma superficial",Enseñar a usarla éticamente e integrarla en las materias
22/09/2026 8:13:53,Trabajador/a independiente / Free-lance,Licenciatura / Ingeniería,Más de 5 salarios mínimos,Entre 1 y 2 horas al día,Secundaria,4,Diariamente,Entender o resolver dudas de temas difíciles,Supervisión ocasional (Pregunto de vez en cuando),Moderadamente positivo,Desarrollo de habilidades tecnológicas para el futuro,Exposición a información falsa o no verificada,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
22/09/2026 8:17:06,Trabajo del hogar / Cuidados no remunerados,Secundaria,Entre 1 y 2 salarios mínimos,Entre 30 minutos y 1 hora al día,Preparatoria / Bachillerato,2,No lo sé,No utiliza IA / No lo sé,Mínima o nula (Confío en que lo use adecuadamente),Moderadamente positivo,Apoyo en materias donde el estudiante presenta dificultades,Exposición a información falsa o no verificada,No estoy seguro/a,Restringirla solo para ciertas actividades específicas
22/09/2026 8:23:34,Actualmente sin empleo,Preparatoria / Bachillerato,Menos del salario mínimo,Más de 2 horas al día,Secundaria,2,Varias veces por semana,Buscar información rápidamente,Mínima o nula (Confío en que lo use adecuadamente),Moderadamente positivo,Apoyo en materias donde el estudiante presenta dificultades,Dependencia tecnológica (incapacidad de trabajar sin IA),No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
22/09/2026 9:24:07,Empleado/a en sector privado,Posgrado (Maestría / Doctorado),Entre 3 y 5 salarios mínimos,Entre 1 y 2 horas al día,Secundaria,4,Diariamente,"Buscar información rápidamente, Resolver ejercicios matemáticos o de programación, Generar ideas o resúmenes",Supervisión ocasional (Pregunto de vez en cuando),Moderadamente positivo,Apoyo en materias donde el estudiante presenta dificultades,Exposición a información falsa o no verificada,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
22/09/2026 9:35:34,Empleado/a en sector privado,Licenciatura / Ingeniería,Entre 3 y 5 salarios mínimos,Más de 2 horas al día,Universidad / Licenciatura,3,Diariamente,"Entender o resolver dudas de temas difíciles, Buscar información rápidamente, Hacer la tarea completa en lugar de redactarla él/ella",Mínima o nula (Confío en que lo use adecuadamente),Muy positivo,Explicaciones personalizadas a su propio ritmo,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
22/09/2026 10:42:03,Estudiante,Posgrado (Maestría / Doctorado),Prefiero no responder,Más de 2 horas al día,Primaria,2,Nunca,No utiliza IA / No lo sé,Supervisión constante (Reviso activamente qué usa y cómo),Neutro (Ni positivo ni negativo),Apoyo en materias donde el estudiante presenta dificultades,Riesgo de entregar trabajos plagiados o no originales,No estoy seguro/a,Restringirla solo para ciertas actividades específicas
22/09/2026 11:46:45,Estudiante,Primaria o menor,Entre 1 y 2 salarios mínimos,Menos de 30 minutos al día,Primaria,4,Varias veces por semana,No utiliza IA / No lo sé,Supervisión constante (Reviso activamente qué usa y cómo),Neutro (Ni positivo ni negativo),Explicaciones personalizadas a su propio ritmo,Disminución del esfuerzo intelectual y pereza académica,"Sí, normas claras y explícitas",Enseñar a usarla éticamente e integrarla en las materias
22/09/2026 13:31:31,Empleado/a en sector privado,Licenciatura / Ingeniería,Entre 1 y 2 salarios mínimos,No me es posible apoyarlos por temas de horario,Primaria,3,Diariamente,Entender o resolver dudas de temas difíciles,Supervisión constante (Reviso activamente qué usa y cómo),Neutro (Ni positivo ni negativo),Desarrollo de habilidades tecnológicas para el futuro,Pérdida de la capacidad de pensamiento crítico y análisis,"Sí, normas claras y explícitas",Restringirla solo para ciertas actividades específicas
22/09/2026 13:47:52,Estudiante,Licenciatura / Ingeniería,Entre 3 y 5 salarios mínimos,No me es posible apoyarlos por temas de horario,Primaria,4,Varias veces por semana,"Entender o resolver dudas de temas difíciles, Buscar información rápidamente, Entretenimiento",Mínima o nula (Confío en que lo use adecuadamente),Moderadamente negativo,Ahorro de tiempo en búsquedas de información,Dependencia tecnológica (incapacidad de trabajar sin IA),No estoy seguro/a,Restringirla solo para ciertas actividades específicas
22/09/2026 15:05:30,Estudiante,Preparatoria / Bachillerato,Prefiero no responder,No me es posible apoyarlos por temas de horario,Preparatoria / Bachillerato,2,Rara vez (1 o 2 veces al mes),Entender o resolver dudas de temas difíciles,Mínima o nula (Confío en que lo use adecuadamente),Neutro (Ni positivo ni negativo),Apoyo en materias donde el estudiante presenta dificultades,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,Restringirla solo para ciertas actividades específicas
23/09/2026 3:45:14,Empleado/a en sector público / Gobierno,Posgrado (Maestría / Doctorado),Entre 1 y 2 salarios mínimos,Entre 30 minutos y 1 hora al día,"Primaria, Universidad / Licenciatura",3,Nunca,No utiliza IA / No lo sé,Ninguna (No conozco las herramientas que utiliza),Moderadamente positivo,Ahorro de tiempo en búsquedas de información,Dependencia tecnológica (incapacidad de trabajar sin IA),No han comunicado nada al respecto,Restringirla solo para ciertas actividades específicas
23/09/2026 9:10:06,Trabajo del hogar / Cuidados no remunerados,Técnico superior / Carrera técnica,Entre 3 y 5 salarios mínimos,Entre 30 minutos y 1 hora al día,Universidad / Licenciatura,3,Rara vez (1 o 2 veces al mes),Entretenimiento,Supervisión ocasional (Pregunto de vez en cuando),Neutro (Ni positivo ni negativo),Apoyo en materias donde el estudiante presenta dificultades,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
23/09/2026 9:10:44,Comerciante / Empresario/a,Licenciatura / Ingeniería,Prefiero no responder,Entre 30 minutos y 1 hora al día,Primaria,3,Rara vez (1 o 2 veces al mes),"Entender o resolver dudas de temas difíciles, Redactar o corregir ensayos y escritos, Buscar información rápidamente",Supervisión constante (Reviso activamente qué usa y cómo),Moderadamente positivo,Ahorro de tiempo en búsquedas de información,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
23/09/2026 9:17:52,Empleado/a en sector privado,Posgrado (Maestría / Doctorado),Más de 5 salarios mínimos,Menos de 30 minutos al día,Primaria,3,Varias veces por semana,Buscar información rápidamente,Supervisión ocasional (Pregunto de vez en cuando),Neutro (Ni positivo ni negativo),Explicaciones personalizadas a su propio ritmo,Dependencia tecnológica (incapacidad de trabajar sin IA),No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
23/09/2026 9:18:13,Trabajo del hogar / Cuidados no remunerados,Preparatoria / Bachillerato,Prefiero no responder,Más de 2 horas al día,Primaria,3,Rara vez (1 o 2 veces al mes),No utiliza IA / No lo sé,Supervisión constante (Reviso activamente qué usa y cómo),Neutro (Ni positivo ni negativo),Desarrollo de habilidades tecnológicas para el futuro,Dependencia tecnológica (incapacidad de trabajar sin IA),No estoy seguro/a,Restringirla solo para ciertas actividades específicas
23/09/2026 9:19:07,Trabajo del hogar / Cuidados no remunerados,Técnico superior / Carrera técnica,Entre 3 y 5 salarios mínimos,Más de 2 horas al día,"Secundaria, Preparatoria / Bachillerato",2,Rara vez (1 o 2 veces al mes),Generar ideas o resúmenes,Supervisión constante (Reviso activamente qué usa y cómo),Neutro (Ni positivo ni negativo),Explicaciones personalizadas a su propio ritmo,Exposición a información falsa o no verificada,"Sí, normas claras y explícitas",Enseñar a usarla éticamente e integrarla en las materias
23/09/2026 9:48:51,Empleado/a en sector privado,Licenciatura / Ingeniería,Prefiero no responder,Menos de 30 minutos al día,Universidad / Licenciatura,2,Diariamente,Buscar información rápidamente,Mínima o nula (Confío en que lo use adecuadamente),Moderadamente positivo,Ahorro de tiempo en búsquedas de información,Disminución del esfuerzo intelectual y pereza académica,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
23/09/2026 9:57:57,Empleado/a en sector privado,Licenciatura / Ingeniería,Prefiero no responder,Menos de 30 minutos al día,Universidad / Licenciatura,2,Diariamente,Buscar información rápidamente,Mínima o nula (Confío en que lo use adecuadamente),Moderadamente negativo,Ahorro de tiempo en búsquedas de información,Disminución del esfuerzo intelectual y pereza académica,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
23/09/2026 10:09:41,Empleado/a en sector privado,Licenciatura / Ingeniería,Entre 3 y 5 salarios mínimos,Entre 30 minutos y 1 hora al día,Primaria,2,Varias veces por semana,Buscar información rápidamente,Supervisión constante (Reviso activamente qué usa y cómo),Moderadamente positivo,Ahorro de tiempo en búsquedas de información,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,Permitirla libremente como una herramienta más
23/09/2026 10:20:16,Empleado/a en sector privado,Preparatoria / Bachillerato,Más de 5 salarios mínimos,Solo los fines de semana,Universidad / Licenciatura,2,Diariamente,Hacer la tarea completa en lugar de redactarla él/ella,Mínima o nula (Confío en que lo use adecuadamente),Neutro (Ni positivo ni negativo),Explicaciones personalizadas a su propio ritmo,Dependencia tecnológica (incapacidad de trabajar sin IA),No han comunicado nada al respecto,Restringirla solo para ciertas actividades específicas
23/09/2026 10:26:50,Otro,Licenciatura / Ingeniería,Prefiero no responder,Entre 30 minutos y 1 hora al día,Primaria,3,Nunca,No utiliza IA / No lo sé,Mínima o nula (Confío en que lo use adecuadamente),Neutro (Ni positivo ni negativo),Explicaciones personalizadas a su propio ritmo,Pérdida de la capacidad de pensamiento crítico y análisis,No han comunicado nada al respecto,Enseñar a usarla éticamente e integrarla en las materias
